raw ,ln,LOG10,cellid,gt,ms
3.642469,1.292661748,0.561395864,2,WT,A
3.726889,1.315573837,0.571346458,2,WT,A
3.774475,1.3282613,0.576856553,2,WT,A
3.790459,1.33248712,0.578691803,2,WT,A
3.839059,1.345227284,0.584224787,2,WT,A
3.839347,1.3453023,0.584257365,2,WT,A
3.908099,1.363051067,0.591965557,2,WT,A
3.917907,1.365557583,0.593054123,2,WT,A
3.929273,1.368454421,0.594312204,2,WT,A
3.950739,1.37390265,0.59667834,2,WT,A
3.954523,1.374859987,0.597094106,2,WT,A
3.990149,1.383828574,0.600989113,2,WT,A
4.075006,1.404872219,0.610128253,2,WT,A
4.131198,1.418567438,0.61607601,2,WT,A
4.139782,1.420643129,0.616977472,2,WT,A
4.174685,1.429038906,0.620623711,2,WT,A
4.284806,1.455075277,0.631931163,2,WT,A
4.292205,1.456800587,0.632680456,2,WT,A
4.314849,1.46206233,0.634965602,2,WT,A
4.34517,1.469064883,0.638006772,2,WT,A
4.361455,1.472805717,0.639631396,2,WT,A
4.391758,1.479729603,0.642638401,2,WT,A
4.406499,1.483080497,0.644093676,2,WT,A
4.435358,1.489608334,0.64692868,2,WT,A
4.457911,1.494680271,0.649131394,2,WT,A
4.459775,1.495098316,0.649312949,2,WT,A
4.553378,1.515869375,0.658333705,2,WT,A
4.65717,1.538407968,0.668122091,2,WT,A
4.693544,1.546187947,0.671500894,2,WT,A
4.694836,1.546463181,0.671620426,2,WT,A
4.703202,1.548243553,0.672393632,2,WT,A
4.760576,1.560368669,0.677659503,2,WT,A
4.790957,1.566730183,0.680422273,2,WT,A
4.870439,1.583184077,0.687568108,2,WT,A
4.890443,1.587282892,0.689348201,2,WT,A
4.930473,1.595434927,0.692888585,2,WT,A
4.959318,1.601268231,0.695421957,2,WT,A
5.064794,1.622313466,0.704561786,2,WT,A
5.076142,1.624551524,0.705533763,2,WT,A
5.129849,1.635076224,0.710104582,2,WT,A
5.132987,1.635687751,0.710370164,2,WT,A
5.180823,1.644963924,0.714398755,2,WT,A
5.193751,1.647456172,0.715481125,2,WT,A
5.194278,1.647557635,0.71552519,2,WT,A
5.226303,1.653704145,0.718194585,2,WT,A
5.324791,1.672373462,0.726302566,2,WT,A
5.326453,1.672685538,0.726438099,2,WT,A
5.326564,1.672706377,0.72644715,2,WT,A
5.359012,1.67877963,0.72908473,2,WT,A
5.36429,1.679764028,0.729512248,2,WT,A
5.441251,1.694008998,0.73569876,2,WT,A
5.463781,1.698141041,0.737493284,2,WT,A
5.489086,1.702761757,0.739500035,2,WT,A
5.498754,1.704521521,0.740264291,2,WT,A
5.512074,1.706940959,0.741315039,2,WT,A
5.534657,1.711029595,0.743090711,2,WT,A
5.568546,1.717133979,0.745741812,2,WT,A
5.67401,1.735896099,0.753890097,2,WT,A
5.950997,1.783558769,0.774589731,2,WT,A
6.095383,1.807531599,0.785000999,2,WT,A
6.104977,1.80910434,0.785684032,2,WT,A
6.198097,1.824242309,0.792258369,2,WT,A
6.225832,1.828707088,0.794197397,2,WT,A
6.246035,1.831946862,0.795604413,2,WT,A
6.275894,1.836715945,0.7976756,2,WT,A
6.284676,1.838114289,0.798282893,2,WT,A
6.29565,1.839858919,0.799040576,2,WT,A
6.306817,1.841631112,0.79981023,2,WT,A
6.322861,1.844171796,0.800913635,2,WT,A
6.37609,1.852555057,0.804554439,2,WT,A
6.390574,1.854824092,0.805539868,2,WT,A
6.429253,1.860858357,0.808160516,2,WT,A
6.43847,1.862290934,0.808782676,2,WT,A
6.467423,1.866777729,0.810731267,2,WT,A
6.471674,1.867434808,0.811016632,2,WT,A
6.537617,1.877572726,0.815419474,2,WT,A
6.550498,1.879541077,0.816274318,2,WT,A
6.604747,1.887788633,0.819856186,2,WT,A
6.61721,1.889673831,0.820674917,2,WT,A
6.66389,1.896703398,0.82372782,2,WT,A
6.689837,1.900589509,0.825415536,2,WT,A
6.72852,1.906355209,0.827919548,2,WT,A
6.76229,1.91136159,0.830093791,2,WT,A
6.802721,1.917322679,0.83268266,2,WT,A
6.810141,1.918412825,0.833156104,2,WT,A
6.849315,1.924148647,0.83564714,2,WT,A
6.871007,1.927310675,0.837020391,2,WT,A
6.887089,1.929648499,0.838035695,2,WT,A
7.012642,1.94771452,0.845881668,2,WT,A
7.031229,1.950361513,0.847031243,2,WT,A
7.048167,1.952767583,0.848076186,2,WT,A
7.055257,1.953773013,0.848512838,2,WT,A
7.173682,1.970419051,0.855742121,2,WT,A
7.203557,1.974574932,0.857546997,2,WT,A
7.20457,1.974715547,0.857608065,2,WT,A
7.220217,1.976885008,0.85855025,2,WT,A
7.220217,1.976885008,0.85855025,2,WT,A
7.225515,1.977618512,0.858868807,2,WT,A
7.254797,1.981662905,0.860625265,2,WT,A
7.360552,1.99613493,0.866910385,2,WT,A
7.408479,2.002625155,0.869729054,2,WT,A
7.462687,2.009915537,0.872895227,2,WT,A
7.467258,2.010527863,0.873161157,2,WT,A
7.541501,2.020421234,0.877457793,2,WT,A
7.641791,2.033632,0.883195156,2,WT,A
7.641791,2.033632,0.883195156,2,WT,A
7.920057,2.069398403,0.898728307,2,WT,A
8.185975,2.102422324,0.913070414,2,WT,A
8.352638,2.122577417,0.92182366,2,WT,A
8.357273,2.123132178,0.922064589,2,WT,A
8.411922,2.129649985,0.924895237,2,WT,A
8.441601,2.133171983,0.926424821,2,WT,A
8.520836,2.142514458,0.930482207,2,WT,A
8.610541,2.15298715,0.935030439,2,WT,A
8.650402,2.157605794,0.93703629,2,WT,A
8.802999,2.175092459,0.944630653,2,WT,A
8.934959,2.18997156,0.951092564,2,WT,A
8.990026,2.196115741,0.953760948,2,WT,A
8.99761,2.196958987,0.954127165,2,WT,A
9.018848,2.19931661,0.955151068,2,WT,A
9.10708,2.209052133,0.959379152,2,WT,A
9.14253,2.212937152,0.961066394,2,WT,A
9.37729,2.238290809,0.972077347,2,WT,A
9.460633,2.247139294,0.975920196,2,WT,A
9.478673,2.249044328,0.976747541,2,WT,A
9.502069,2.251509564,0.97781818,2,WT,A
9.560086,2.257596723,0.980461799,2,WT,A
9.688162,2.270904728,0.986241392,2,WT,A
9.782941,2.280640155,0.990469434,2,WT,A
9.869689,2.289468343,0.994303468,2,WT,A
9.928446,2.29540397,0.996881278,2,WT,A
10.01173,2.303757406,1.000509129,2,WT,A
10.05815,2.308383251,1.002518108,2,WT,A
10.11298,2.313819747,1.004879148,2,WT,A
10.2482,2.32710208,1.010647592,2,WT,A
10.44301,2.345932855,1.018825694,2,WT,A
10.50127,2.351496202,1.021241825,2,WT,A
10.55083,2.35620453,1.023286626,2,WT,A
10.58661,2.359589995,1.024756914,2,WT,A
10.58858,2.359776062,1.024837722,2,WT,A
10.59077,2.359982867,1.024927537,2,WT,A
10.78054,2.377742657,1.032640515,2,WT,A
11.10388,2.407294597,1.04547476,2,WT,A
11.24607,2.420018734,1.051000782,2,WT,A
11.26364,2.421579839,1.051678761,2,WT,A
11.31992,2.426564006,1.053843358,2,WT,A
11.33546,2.427935865,1.054439149,2,WT,A
11.35557,2.429708372,1.055208939,2,WT,A
11.47828,2.440456554,1.059876815,2,WT,A
11.52063,2.444139341,1.061476229,2,WT,A
11.53101,2.445039928,1.061867349,2,WT,A
11.53413,2.445310466,1.061984842,2,WT,A
11.61445,2.452250013,1.064998649,2,WT,A
11.63848,2.45431685,1.065896265,2,WT,A
11.68736,2.458507916,1.067716422,2,WT,A
11.90476,2.47693832,1.075720644,2,WT,A
11.98193,2.483399682,1.078526778,2,WT,A
12.0075,2.485531455,1.079452595,2,WT,A
12.06836,2.490587152,1.081648257,2,WT,A
12.17135,2.499084829,1.085338751,2,WT,A
12.25173,2.505667152,1.088197417,2,WT,A
12.3851,2.516494137,1.092899518,2,WT,A
12.42839,2.519983372,1.094414873,2,WT,A
12.69054,2.540856834,1.103480102,2,WT,A
12.8398,2.552549722,1.108558259,2,WT,A
13.01408,2.566031848,1.114413472,2,WT,A
13.08927,2.571792811,1.116915426,2,WT,A
13.18229,2.578874262,1.119990862,2,WT,A
13.3542,2.591830942,1.125617876,2,WT,A
13.63879,2.612917939,1.134775842,2,WT,A
13.6577,2.614303465,1.135377569,2,WT,A
13.66499,2.614837088,1.135609318,2,WT,A
13.75531,2.621424931,1.138470382,2,WT,A
13.98219,2.637784377,1.145575199,2,WT,A
13.99825,2.638932322,1.146073745,2,WT,A
14.02509,2.640847869,1.146905657,2,WT,A
14.06477,2.643673089,1.148132635,2,WT,A
14.12804,2.648161475,1.150081916,2,WT,A
14.20447,2.653556704,1.152425034,2,WT,A
14.2088,2.653861491,1.152557401,2,WT,A
14.28173,2.658981098,1.154780818,2,WT,A
14.36749,2.664968015,1.157380904,2,WT,A
14.42579,2.669017577,1.159139606,2,WT,A
14.48046,2.672800154,1.160782358,2,WT,A
14.55207,2.677733252,1.162924775,2,WT,A
14.74994,2.691239015,1.168790254,2,WT,A
14.76355,2.692161305,1.169190799,2,WT,A
14.85867,2.698583533,1.171979937,2,WT,A
15.22088,2.722668169,1.182439762,2,WT,A
15.37168,2.732526855,1.186721335,2,WT,A
15.59549,2.74698177,1.192999025,2,WT,A
15.86318,2.764000701,1.200390252,2,WT,A
15.88286,2.76524054,1.200928708,2,WT,A
16.19177,2.784503088,1.209294326,2,WT,A
16.32965,2.792982474,1.212976876,2,WT,A
16.49059,2.802789915,1.217236194,2,WT,A
16.56743,2.80743872,1.219255144,2,WT,A
16.60074,2.809447273,1.220127448,2,WT,A
16.72219,2.81673658,1.223293154,2,WT,A
16.76161,2.819091152,1.224315732,2,WT,A
17.21587,2.845831633,1.235928975,2,WT,A
17.40313,2.856650075,1.240627364,2,WT,A
17.76298,2.877116516,1.249515827,2,WT,A
17.81861,2.880243417,1.250873822,2,WT,A
17.91463,2.885617697,1.253207843,2,WT,A
18.01802,2.891372368,1.255707065,2,WT,A
18.0377,2.892464012,1.25618116,2,WT,A
18.37628,2.911060703,1.2642576,2,WT,A
18.62225,2.924357102,1.270032153,2,WT,A
19.5241,2.9716496,1.290571023,2,WT,A
19.72265,2.981767721,1.294965268,2,WT,A
19.76834,2.984081668,1.295970202,2,WT,A
19.7775,2.984544928,1.296171393,2,WT,A
19.8974,2.99058907,1.298796331,2,WT,A
20.3336,3.01227469,1.308214276,2,WT,A
20.74891,3.032493715,1.316995287,2,WT,A
20.91162,3.040304985,1.320387678,2,WT,A
20.94926,3.042103324,1.321168687,2,WT,A
21.05263,3.047025493,1.323306358,2,WT,A
21.30315,3.058854949,1.328443825,2,WT,A
21.30404,3.058896726,1.328461969,2,WT,A
21.35825,3.061438082,1.329565666,2,WT,A
21.93001,3.087856018,1.34103883,2,WT,A
22.00636,3.091331502,1.342548213,2,WT,A
22.10326,3.095725109,1.344456332,2,WT,A
22.30159,3.104657976,1.348335827,2,WT,A
22.31131,3.105093725,1.34852507,2,WT,A
22.52332,3.114551217,1.352632407,2,WT,A
22.54116,3.115342971,1.352976262,2,WT,A
22.90418,3.131319427,1.359914748,2,WT,A
22.98851,3.134994526,1.361510823,2,WT,A
23.05164,3.137736917,1.362701829,2,WT,A
23.25581,3.146554993,1.366531471,2,WT,A
23.41749,3.153483179,1.369540343,2,WT,A
23.74107,3.16720646,1.375500289,2,WT,A
23.80952,3.170085501,1.37675064,2,WT,A
23.87726,3.172926542,1.377984488,2,WT,A
24.08505,3.181591316,1.381747552,2,WT,A
24.16576,3.184936755,1.383200458,2,WT,A
24.23669,3.187867601,1.384473308,2,WT,A
24.32998,3.191709335,1.386141752,2,WT,A
24.43914,3.196185945,1.388085919,2,WT,A
24.47419,3.197619093,1.388708327,2,WT,A
24.91242,3.215366474,1.396415917,2,WT,A
24.95127,3.216924723,1.397092656,2,WT,A
25.04892,3.220830713,1.398789006,2,WT,A
25.13994,3.224457817,1.400364237,2,WT,A
25.17703,3.225932071,1.401004497,2,WT,A
25.79995,3.250372554,1.411618864,2,WT,A
26.12245,3.262795098,1.417013907,2,WT,A
26.35643,3.271712268,1.420886584,2,WT,A
26.58221,3.280242195,1.424591085,2,WT,A
26.77964,3.287641897,1.427804734,2,WT,A
26.92469,3.29304371,1.430150712,2,WT,A
27.13014,3.300645287,1.433452035,2,WT,A
27.35335,3.308839008,1.437010523,2,WT,A
27.5328,3.315378021,1.43985038,2,WT,A
27.6249,3.31871754,1.441300715,2,WT,A
27.8397,3.32646306,1.444664551,2,WT,A
27.88671,3.328150231,1.44539728,2,WT,A
28.0902,3.335420761,1.448554831,2,WT,A
28.61934,3.354082713,1.456659614,2,WT,A
29.05459,3.369176474,1.463214751,2,WT,A
29.07109,3.36974421,1.463461316,2,WT,A
29.53392,3.385539433,1.470321094,2,WT,A
29.60222,3.387849359,1.471324282,2,WT,A
29.83335,3.395626895,1.474702023,2,WT,A
29.97658,3.40041641,1.476782083,2,WT,A
30.32098,3.411839882,1.481743234,2,WT,A
30.46894,3.416707804,1.483857346,2,WT,A
30.88058,3.430127507,1.489685449,2,WT,A
31.0755,3.436419727,1.492418125,2,WT,A
31.28819,3.44324071,1.49538044,2,WT,A
32.29876,3.475028839,1.509185849,2,WT,A
32.98119,3.495937399,1.518266321,2,WT,A
33.11344,3.499939242,1.5200043,2,WT,A
33.17781,3.501881279,1.520847716,2,WT,A
33.7197,3.518082236,1.527883702,2,WT,A
33.83111,3.521380793,1.529316247,2,WT,A
34.3878,3.53770185,1.536404392,2,WT,A
35.06369,3.557166122,1.544857618,2,WT,A
35.33471,3.564865767,1.548201531,2,WT,A
35.48655,3.569153751,1.550063779,2,WT,A
35.66453,3.574156637,1.552236505,2,WT,A
35.79168,3.577715464,1.553782084,2,WT,A
35.9147,3.581146682,1.555272243,2,WT,A
35.99803,3.583464215,1.556278735,2,WT,A
36.12757,3.587056286,1.557838751,2,WT,A
36.25806,3.590661701,1.559404563,2,WT,A
36.26062,3.590732304,1.559435226,2,WT,A
36.49583,3.597198007,1.562243245,2,WT,A
40.22627,3.694520265,1.604509764,2,WT,A
40.64782,3.704945206,1.609037259,2,WT,A
40.81633,3.709082246,1.610833953,2,WT,A
42.02232,3.738200906,1.623480026,2,WT,A
43.44137,3.771412213,1.637903513,2,WT,A
44.32133,3.791466051,1.646612784,2,WT,A
48.35663,3.878603338,1.684456027,2,WT,A
52.46977,3.960237194,1.71990916,2,WT,A
53.01854,3.970641664,1.724427764,2,WT,A
56.23902,4.029610822,1.750037744,2,WT,A
60.74988,4.106765107,1.783545424,2,WT,A
63.38203,4.149180383,1.801966145,2,WT,A
63.69744,4.154144373,1.804121978,2,WT,A
64.51613,4.16691527,1.809668308,2,WT,A
66.57997,4.198403782,1.823343595,2,WT,A
70.22356,4.251683867,1.846482842,2,WT,A
73.2056,4.293271921,1.864544305,2,WT,A
75.98694,4.330561483,1.880738956,2,WT,A
83.90691,4.42970797,1.923797728,2,WT,A
84.74015,4.439589515,1.928089228,2,WT,A
87.2529,4.468810798,1.94077987,2,WT,A
96.31302,4.567603512,1.983685001,2,WT,A
104.3833,4.648069701,2.018631023,2,WT,A
129.1951,4.861323665,2.111246042,2,WT,A
132.2656,4.884812022,2.121446906,2,WT,A
132.987,4.890251379,2.123809189,2,WT,A
